method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	3	50	3	200	13	0.414342629482	0.676734693878	0.0175909333333	1.0	0.52	2
DECIFER	3	50	3	200	14	1.0	1.0	0.0143823333333	1.0	1.0	3
DECIFER	3	50	3	200	15	0.844506500807	0.931428571429	0.0150118888889	0.909090909091	0.882352941176	3
DECIFER	3	50	3	200	16	0.547914872678	0.764897959184	0.0225257066667	1.0	0.577092511013	2
DECIFER	3	50	3	200	17	1.0	1.0	0.0108265555556	1.0	1.0	3
DECIFER	3	50	3	200	18	1.0	1.0	0.00768880444444	1.0	1.0	3
DECIFER	3	50	3	200	19	1.0	1.0	0.00635466666667	1.0	1.0	3
DECIFER	3	50	3	200	2	1.0	1.0	0.0129501777778	1.0	1.0	3
DECIFER	3	50	3	200	20	1.0	1.0	0.0151525809524	1.0	1.0	4
DECIFER	3	50	3	200	3	1.0	1.0	0.0123128222222	1.0	1.0	3
DECIFER	3	50	3	200	4	1.0	1.0	0.00550814666667	1.0	1.0	3
DECIFER	3	50	3	200	5	1.0	1.0	0.015792	1.0	1.0	3
DECIFER	3	50	3	200	6	0.315249795928	0.691428571429	0.00913955555556	0.555288461538	0.544811320755	3
DECIFER	3	50	3	200	7	1.0	1.0	0.0159695555556	1.0	1.0	3
DECIFER	3	50	3	200	8	1.0	1.0	0.0100418888889	1.0	1.0	3
DECIFER	3	50	3	200	9	1.0	1.0	0.00443356666667	1.0	1.0	3
DECIFER	3	100	4	200	1	0.9366218396	0.97696969697	0.0366255933333	0.907841552142	1.0	6
DECIFER	3	100	4	200	10	1.0	1.0	0.00952791583333	1.0	1.0	4
DECIFER	3	100	4	200	11	0.825957169642	0.935353535354	0.0102179166667	0.870279146141	0.867430441899	4
DECIFER	3	100	4	200	12	0.976089004935	0.990909090909	0.00543370333333	0.980252764613	0.984139571768	4
DECIFER	3	100	4	200	13	1.0	1.0	0.00881429166667	1.0	1.0	4
DECIFER	3	100	4	200	14	1.0	1.0	0.00962306666667	1.0	1.0	4
DECIFER	3	100	4	200	15	1.0	1.0	0.00857969	1.0	1.0	4
DECIFER	3	100	4	200	16	0.975382034356	0.990909090909	0.00497185833333	0.981803143093	0.980991735537	4
DECIFER	3	100	4	200	17	0.976676100935	0.991515151515	0.0119035444444	0.96511627907	1.0	5
DECIFER	3	100	4	200	18	0.970614057364	0.989090909091	0.007268525	0.976248976249	0.979457682827	4
DECIFER	3	100	4	200	19	0.898217349901	0.962424242424	0.00693795833333	0.924606462303	0.921552436003	4
DECIFER	3	100	4	200	2	0.868253916895	0.948484848485	0.010845825	0.906463878327	0.900302114804	4
DECIFER	3	100	4	200	20	1.0	1.0	0.0274492333333	1.0	1.0	5
DECIFER	3	100	4	200	3	1.0	1.0	0.0145808333333	1.0	1.0	4
DECIFER	3	100	4	200	4	0.971671082559	0.989494949495	0.00858753333333	0.97863599014	0.97863599014	4
DECIFER	3	100	4	200	5	0.941072767827	0.977777777778	0.00574864166667	0.958232931727	0.953637090328	4
DECIFER	3	100	4	200	6	0.926996845215	0.972727272727	0.00853375	0.942463533225	0.947840260799	4
DECIFER	3	100	4	200	7	1.0	1.0	0.01035867	1.0	1.0	4
DECIFER	3	100	4	200	8	1.0	1.0	0.00666268333333	1.0	1.0	4
DECIFER	3	100	4	200	9	0.836339167957	0.937373737374	0.00601925	0.881982690795	0.875097580016	4
DECIFER	3	500	4	200	1	0.994999865987	0.998124248497	0.00760459166667	0.996059081734	0.99644219366	4
